WARNING:root:Defaulting to PJRT_DEVICE=CPU
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:99       1| DeviceDescription::PJRT_DeviceDescription_ToString
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
Using PJRT plugin directory: /localdev/jameszianxu/tt-xla/python_package/pjrt_plugin_tt
Using TT-Metal from the source tree: /localdev/jameszianxu/tt-xla/third_party/tt-mlir/src/tt-mlir/third_party/tt-metal/src/tt-metal
WARNING: TT plugin is setting XLA_STABLEHLO_COMPILE to 1. This is required for TT PJRT plugin to work correctly.
Setting up XLA environment...
XLA environment configured.
detected 8 devices
Created device mesh: (2, 4) with 8 devices
Running 2x4
2025-11-26 17:30:26.456 (   2.239s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.456 (   2.239s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.456 (   2.239s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.456 (   2.239s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
